id,listed_on_category_page,subcategory,title,url,sku,price_shown,pricing_type,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,units_available,inventory_name,main_image_file,gallery_image_files,image_urls,main_image_alt,short_description,description,addons (name: DKK),categories
492,yes,E-BIKES,E-Bike – size 44 (150-165 cm),https://rentabike.fo/product/felt-verza-e30-size-44/,Verza-E30,From kr.300.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,7 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,,,3,MBK Nobly 1 (44),Design-uden-navn-58.png,turn-the-motor-onoff.png | Design-uden-navn-2025-06-06T105016.102.png,https://rentabike.fo/wp-content/uploads/2019/02/Design-uden-navn-58.png | https://rentabike.fo/wp-content/uploads/2019/02/turn-the-motor-onoff.png | https://rentabike.fo/wp-content/uploads/2024/11/Design-uden-navn-2025-06-06T105016.102.png,E-Bike - size 44 (150-165 cm),,"High-end e-bike created for the busy life. Expect first-class comfort combined with sharp handling that delivers cycling joy time and time again. Equipped with a powerful electric system from Yamaha that can tackle any hill – effortlessly. E-bike with 8 gear and hand breaks.
MBK Nolby Range is up to approx. 130 km per charge.
In the Faroe Islands, expect around 100 km depending on wind, hills and support level.","2 rental bags for rear rack (2*20l.): 100; 3 bags for rear rack for rent (2*20l.+10l.)): 150; Bag storrage - one bag: 100; Basket 23-25 liter for rear rack for rent: 100; Garmin/Wahoo GPS out front compatibel med GoPro: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES | RENT A BIKE
28499,yes,E-BIKES,E-Bike size 48 (160-180 cm),https://rentabike.fo/product/e-bike-winther-blue-size-48-160-180-cm/,blue,From kr.300.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,7 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,,,2,Blue Winther Superbe 3 48cm blå,Design-uden-navn-78.png,Untitled-design-2022-03-08T155713.575.jpg | The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,https://rentabike.fo/wp-content/uploads/2024/09/Design-uden-navn-78.png | https://rentabike.fo/wp-content/uploads/2025/02/Untitled-design-2022-03-08T155713.575.jpg | https://rentabike.fo/wp-content/uploads/2022/08/The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,E-Bike size 48 (160-180 cm),,"Lightweight electric bike with an upright riding position, which makes it comfortable to ride long rides. In addition, the bike is equipped with a center motor, which ensures that the center of gravity and balance are top notch. E-bike with 8 gear and foot brake. brake.
Luggage carrier battery 400 WH/11.1 AH – up to 100 km on one charge.
In the Faroe Islands, expect around 80 km depending on wind, hills and support level.","1 bag for rear rack for rent (8l.): 50; 2 rental bags for rear rack (2*20l.): 100; 3 bags for rear rack for rent (2*20l.+10l.)): 150; Bag storrage - one bag: 100; Basket 23-25 liter for rear rack for rent: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES | RENT A BIKE
31734,yes,E-BIKES,E-bike size 52 (170-185 cm),https://rentabike.fo/product/e-bike-size-52-170-185-cm/,,From kr.300.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,7 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,,,5,MBK Nobly 52,Design-uden-navn-58.png,MBK-Nolby-display-1.jpg | 903219015.jpg | The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png | Design-uden-navn-2026-05-26T111519.170.png,https://rentabike.fo/wp-content/uploads/2019/02/Design-uden-navn-58.png | https://rentabike.fo/wp-content/uploads/2019/02/MBK-Nolby-display-1.jpg | https://rentabike.fo/wp-content/uploads/2022/02/903219015.jpg | https://rentabike.fo/wp-content/uploads/2022/08/The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png | https://rentabike.fo/wp-content/uploads/2022/03/Design-uden-navn-2026-05-26T111519.170.png,E-bike size 52 (170-185 cm),,"High-end e-bike created for the busy life. Expect first-class comfort combined with sharp handling that delivers cycling joy time and time again. Equipped with a powerful electric system from Yamaha that can tackle any hill – effortlessly. E-bike with 8 gear and hand breaks.
MBK Nolby Range is up to approx. 130 km per charge.
In the Faroe Islands, expect around 100 km depending on wind, hills and support level.","1 bag for rear rack for rent (8l.): 50; 2 rental bags for rear rack (2*20l.): 100; 3 bags for rear rack for rent (2*20l.+10l.)): 150; Bag storrage - one bag: 100; Basket 23-25 liter for rear rack for rent: 100; Garmin/Wahoo GPS out front compatibel med GoPro: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES
28500,yes,E-BIKES,E-Bike size 54 (170-190 cm),https://rentabike.fo/product/e-bike-winther-blue-size-54-170-190-cm/,,From kr.250.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,7 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,21 - 28 days: kr.250.00 / Day,,3,Blue Winther Superbe 3 54 cm blå,Design-uden-navn-78.png,Untitled-design-2022-03-08T155713.575.jpg | The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,https://rentabike.fo/wp-content/uploads/2024/09/Design-uden-navn-78.png | https://rentabike.fo/wp-content/uploads/2025/02/Untitled-design-2022-03-08T155713.575.jpg | https://rentabike.fo/wp-content/uploads/2022/08/The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,E-Bike size 54 (170-190 cm),,"Lightweight electric bike with an upright riding position, which makes it comfortable to ride long rides. In addition, the bike is equipped with a center motor, which ensures that the center of gravity and balance are top notch. E-bike with 8 gear and foot brake. brake.
Luggage carrier battery 400 WH/11.1 AH – up to 100 km on one charge.
In the Faroe Islands, expect around 80 km depending on wind, hills and support level.","1 bag for rear rack for rent (8l.): 50; 2 rental bags for rear rack (2*20l.): 100; 3 bags for rear rack for rent (2*20l.+10l.)): 150; Bag storrage - one bag: 100; Basket 23-25 liter for rear rack for rent: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES | RENT A BIKE
31737,yes,E-BIKES,E-bike size 56 (180–195 cm),https://rentabike.fo/product/e-bike-size-56-180-195-cm/,,From kr.300.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,6 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,,,2,MBK Nobly 1 56,Design-uden-navn-58.png,MBK-Nolby-display-1.jpg,https://rentabike.fo/wp-content/uploads/2019/02/Design-uden-navn-58.png | https://rentabike.fo/wp-content/uploads/2019/02/MBK-Nolby-display-1.jpg,E-bike size 56 (180–195 cm),,"High-end e-bike created for the busy life. Expect first-class comfort combined with sharp handling that delivers cycling joy time and time again. Equipped with a powerful electric system from Yamaha that can tackle any hill – effortlessly. E-bike with 8 gear and hand breaks.
MBK Nolby Range is up to approx. 130 km per charge.
In the Faroe Islands, expect around 100 km depending on wind, hills and support level.","1 bag for rear rack for rent (8l.): 50; 2 rental bags for rear rack (2*20l.): 100; 3 bags for rear rack for rent (2*20l.+10l.)): 150; Bag storrage - one bag: 100; Basket 23-25 liter for rear rack for rent: 100; Garmin/Wahoo GPS out front compatibel med GoPro: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES
5660,yes,E-BIKES,E-Bike Gravel – size 19 (160-180 cm),https://rentabike.fo/product/dark-image-19/,Rentabike1002,From kr.200.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,7 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,21 - 27 days: kr.250.00 / Day,28 - 60 days: kr.200.00 / Day,2,19 Centurion E-BIKE DARK IMAGE,9032190419.jpg,The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,https://rentabike.fo/wp-content/uploads/2022/03/9032190419.jpg | https://rentabike.fo/wp-content/uploads/2022/08/The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,E-Bike Gravel - size 19 (160-180 cm),"Centurion Dark Image E is a highly specified all-round electric bike. One charge gives 60km.
Dark Image E is based on a smart and robust frame, and is filled with high-performance components such as a sporty rear-wheel engine, wide gravel tires and external gears. Dark Image E is effective in all types of weather, and can handle almost any terrain. All in all, the Dark Image E is ideal for a mix of everyday and leisure use.",,"2 rental bag for rear rack (2*20l) and rear rack: 200; 3 rental bag for rear rack (2*20l) and rear rack: 250; Bag storrage - one bag: 100; Basket 23-25 liter for rear rack for rent: 100; Bike carrier for car back door: 100; Bike carrier for car hook for rent: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES | RENT A BIKE
5666,yes,E-BIKES,E-Bike Gravel – size 21 (170-190 cm),https://rentabike.fo/product/dark-image-21/,rentabike1004,From kr.200.00 - kr.450.00 Unit Price,day ranges,1 - 1 days: kr.450.00 / Day,2 - 6 days: kr.400.00 / Day,7 - 13 days: kr.350.00 / Day,14 - 20 days: kr.300.00 / Day,21 - 27 days: kr.250.00 / Day,28 - 60 days: kr.200.00 / Day,1,21 CENTURION E-BIKE DARK IMAGE,Untitled-design-27.png,The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,https://rentabike.fo/wp-content/uploads/2022/03/Untitled-design-27.png | https://rentabike.fo/wp-content/uploads/2022/08/The-display-has-2-differrent-assist-functions-•-Assist-levels-1-5-choosable-by-using-updown-buttons.-•-Walk-assist-is-selected-by-holding-down-the-down-button.-•-Light-is-toggled-on-and-off-b.png,E-Bike Gravel - size 21 (170-190 cm),"Centurion Dark Image E is a highly specified all-round electric bike. One charge gives 60km.
Dark Image E is based on a smart and robust frame, and is filled with high-performance components such as a sporty rear-wheel engine, wide gravel tires and external gears. Dark Image E is effective in all types of weather, and can handle almost any terrain. All in all, the Dark Image E is ideal for a mix of everyday and leisure use.",,"2 rental bag for rear rack (2*20l) and rear rack: 200; 3 rental bag for rear rack (2*20l) and rear rack: 250; Bag storrage - one bag: 100; Bike carrier for car back door: 100; Bike carrier for car hook for rent: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Rear rack for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",E-BIKES | RENT A BIKE
1361,yes,MOUNTAIN BIKES,Mountain Bike size 15″ (160-170 CM),https://rentabike.fo/product/mountain-bike-size-15%e2%80%b3-160-170-cm/,size 15,From kr.100.00 - kr.350.00 Unit Price,day ranges,1 - 1 days: kr.350.00 / Day,2 - 6 days: kr.300.00 / Day,7 - 13 days: kr.250.00 / Day,14 - 20 days: kr.200.00 / Day,21 - 27 days: kr.150.00 / Day,28 - 60 days: kr.100.00 / Day,2,"Mountain bike 15"" adult",Design-uden-navn-89.png,,https://rentabike.fo/wp-content/uploads/2020/05/Design-uden-navn-89.png,Mountain Bike size 15″ (160-170 CM),,Principia 29″ MTB with air fork and remote lock out. 10 external Shimano Deore gear (11-42T /34T) and hydraulic disk brake.,"1 frame bag for rent (3l.): 100; 1 front bag for rent (3l.): 100; 1 saddle bag for rent (8l.-13l./14l.): 100; 2 rental bag for rear rack (2*20l) and rear rack: 200; 3 rental bag for rear rack (2*20l) and rear rack: 250; Bag storrage - one bag: 100; Bike carrier for car back door: 100; Bike carrier for car hook for rent: 100; Garmin/Wahoo GPS out front compatibel med GoPro: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Rear rack for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",MOUNTAIN BIKES | RENT A BIKE
467,yes,MOUNTAIN BIKES,Mountain Bike size 17″ (170-180 cm),https://rentabike.fo/product/mountain-bike-evoke-size-xm/,Principia 9/70-1-1,From kr.100.00 - kr.350.00 Unit Price,day ranges,1 - 1 days: kr.350.00 / Day,2 - 6 days: kr.300.00 / Day,7 - 13 days: kr.250.00 / Day,14 - 20 days: kr.200.00 / Day,21 - 27 days: kr.150.00 / Day,28 - 60 days: kr.100.00 / Day,3,"Mountain bike 17"" adult",Design-uden-navn-89.png,Principia-Evoke-A6.9-Air-29in-Deore-1x10sp-Hydr.-disc-19in-483mm-Grøn-m.-sølv-e1590751193494.jpg,https://rentabike.fo/wp-content/uploads/2020/05/Design-uden-navn-89.png | https://rentabike.fo/wp-content/uploads/2019/01/Principia-Evoke-A6.9-Air-29in-Deore-1x10sp-Hydr.-disc-19in-483mm-Grøn-m.-sølv-e1590751193494.jpg,"Mountain Bike size 17"" (170-180 cm)",,"Principia 29″ MTB with air fork and remote lock out. 10 external Shimano Deore gear (11-42T / 34T) and hydraulic disc brake.
A good choice for cycling in the Faroe Islands.","1 frame bag for rent (3l.): 100; 1 front bag for rent (3l.): 100; 2 rental bag for rear rack (2*20l) and rear rack: 200; 3 rental bag for rear rack (2*20l) and rear rack: 250; Bag storrage - one bag: 100; Bike carrier for car back door: 100; Bike carrier for car hook for rent: 100; Garmin/Wahoo GPS out front compatibel med GoPro: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Rear rack for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",MOUNTAIN BIKES | RENT A BIKE
468,yes,MOUNTAIN BIKES,Mountain Bike size 19″ (180-190 cm),https://rentabike.fo/product/mountain-bike-evoke-size-md/,Principia 29 - 1,From kr.100.00 - kr.350.00 Unit Price,day ranges,1 - 1 days: kr.350.00 / Day,2 - 6 days: kr.300.00 / Day,7 - 13 days: kr.250.00 / Day,14 - 20 days: kr.200.00 / Day,21 - 27 days: kr.150.00 / Day,28 - 60 days: kr.100.00 / Day,3,"Mountain bike 19"" Adult",Design-uden-navn-89.png,Principia-Evoke-A6.9-Air-29in-Deore-1x10sp-Hydr.-disc-19in-483mm-Grøn-m.-sølv-e1590751193494.jpg,https://rentabike.fo/wp-content/uploads/2020/05/Design-uden-navn-89.png | https://rentabike.fo/wp-content/uploads/2019/01/Principia-Evoke-A6.9-Air-29in-Deore-1x10sp-Hydr.-disc-19in-483mm-Grøn-m.-sølv-e1590751193494.jpg,"Mountain Bike size 19"" (180-190 cm)",,"Principia 29″ MTB with air fork and remote lock out. 10 external Shimano Deore gear (11-42T / 34T) and hydraulic disc brake.
A good choice for cycling in the Faroe Islands.","1 front bag for rent (3l.): 100; 1 saddle bag for rent (8l.-13l./14l.): 100; 2 rental bag for rear rack (2*20l) and rear rack: 200; 3 rental bag for rear rack (2*20l) and rear rack: 250; Bag storrage - one bag: 100; Bike carrier for car back door: 100; Bike carrier for car hook for rent: 100; Garmin/Wahoo GPS out front compatibel med GoPro: 100; Helmet for rent: 50; Pedals for MTB (SPD) for rent: 100; Pedals for Road Bike (SPD-SL) for rent: 100; Pedals Look Keo for rent: 100; Rear rack for rent: 100; Smartphone Mount for rent. Max device size 6,6''.: 50; Water bottle with logo for sale: 89",MOUNTAIN BIKES | RENT A BIKE
